	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10;f__;g__	0.000102255	0.000323057	8.71E-05	0.000162161	0.000449474	0.000268998	0.000148485	0	0.000354862
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;Other;Other	0.000332328	0.000415359	0.000653495	0.000347488	0.000660991	0	9.90E-05	8.74E-05	0.000544121
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__;g__	2.56E-05	9.23E-05	0	0	0	0	7.42E-05	0	0.000118287
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;Other	0	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__	0.004678153	0.008491785	0.035266953	0.01153659	0.047432711	0.003676306	0.026380915	0.003581412	0.031369766
k__Bacteria;p__Chloroflexi;c__S085;o__;f__;g__	0	0.000184604	0	4.63E-05	2.64E-05	0	0	0	7.10E-05
k__Bacteria;p__Chloroflexi;c__SHA-26;o__;f__;g__	0.000383455	0.001061473	0.000675278	0.000463317	0.001004706	0.000694911	0.000445456	0.000283892	0.0011119
k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__5B-12;g__	2.56E-05	0.000138453	0	0.000138995	2.64E-05	0	0	2.18E-05	7.10E-05
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;Other;Other	2.56E-05	0.000784567	4.36E-05	2.32E-05	0.000343715	0.000134499	0.000247476	0	0.000118287
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__;g__	0	0	2.18E-05	0.000185327	2.64E-05	0	0	0	9.46E-05
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__FFCH4570;g__	0	9.23E-05	0.000108916	4.63E-05	5.29E-05	0	0	0	0
k__Bacteria;p__Chloroflexi;c__TK17;Other;Other;Other	0	0	2.18E-05	4.63E-05	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__TK17;o__;f__;g__	0.001048111	0.001338379	0.00047923	0.001042463	0.001771456	0.001075992	0.000395961	0.000545947	0.000520464
k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48;f__;g__	0	0	0.000152482	4.63E-05	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Ellin6537;f__;g__	0	0.000230755	0	0.000115829	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;Other;Other;Other;Other	0	0	0	0	5.29E-05	2.24E-05	2.47E-05	0	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__;g__	0.003936807	0.000553812	0.001176291	0.001135126	0.001136904	0.000806994	0.001286874	0.002336653	0.000425834
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11;f__;g__	0.000127818	0	2.18E-05	9.27E-05	2.64E-05	2.24E-05	2.47E-05	4.37E-05	7.10E-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;Other;Other	0	0	0	0	5.29E-05	2.24E-05	0	0	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__	0	0	0	0	0	4.48E-05	0	0	0
